col1,col2,col3
105493,116528,0
106335,117689,0
106575,118082,0
107281,119339,0
107337,119450,0
107473,119816,0
107477,119844,0
107472,119934,0
107455,119933,0
107268,119846,0
107257,119849,0
107305,120002,0
107309,120023,0
107329,120116,0
107324,120121,0
107380,120209,0
107386,120242,0
107438,120313,0
107446,120326,0
107413,120369,0
107415,120372,0
107421,120393,0
107409,120377,0
107196,119973,0
107176,119927,0
107173,119926,0
107163,119932,0
107152,120010,0
107167,120052,0
107167,120150,0
107156,120160,0
107139,120166,0
107108,120138,0
107077,120101,0
107094,120107,0
107080,120119,0
107078,120125,0
107099,120185,0
107104,120196,0
107086,120147,0
107034,120050,0
106906,119768,0
106901,119759,0
106911,119813,0
106922,119837,0
106976,119977,0
106985,119990,0
107063,120111,0
107078,120125,0
107060,120124,0
107073,120126,0
107056,120130,0
107047,120137,0
107073,120183,0
107078,120200,0
107074,120234,0
107081,120246,0
106993,120003,0
106982,119960,0
106960,119911,0
106969,119933,0
107011,120029,0
107028,120050,0
107058,120148,0
107063,120170,0
107090,120216,0
107093,120217,0
107089,120239,0
107096,120250,0
107116,120283,0
107109,120289,0
107119,120329,0
107117,120344,0
107111,120276,0
107086,120220,0
106996,120050,0
106997,120049,0
107044,120116,0
107043,120132,0
107049,120234,0
107066,120242,0
107075,120270,0
107062,120269,0
107078,120270,0
107078,120268,0
107078,120280,0
107082,120296,0
107102,120347,0
107099,120353,0
107071,120250,0
107053,120209,0
106975,120029,0
106967,120036,0
106985,120088,0
106995,120103,0
107023,120173,0
107022,120193,0
107033,120219,0
107039,120207,0
106991,120171,0
106995,120187,0
107010,120214,0
107008,120206,0
107015,120241,0
107010,120238,0
106935,120094,0
106921,120038,0
106879,119914,0
106878,119905,0
106878,119921,0
106877,119935,0
106912,120009,0
106913,120010,0
106914,120050,0
106922,120057,0
106933,120064,0
106922,120064,0
106905,120056,0
106908,120054,0
106921,120090,0
106926,120106,0
106903,120054,0
106893,119997,0
106807,119801,0
106799,119778,0
106810,119795,0
106818,119816,0
106850,119889,0
106850,119899,0
106877,119948,0
106883,119939,0
106869,119938,0
106879,119936,0
106877,119943,0
106882,119953,0
106866,119953,0
106862,119963,0
106869,119953,0
106845,119906,0
106759,119692,0
106759,119678,0
106735,119646,0
106744,119659,0
106761,119716,0
106757,119722,0
106774,119770,0
106771,119776,0
106760,119766,0
106769,119769,0
106753,119741,0
106750,119747,0
106754,119778,0
106756,119792,0
106748,119753,0
106728,119698,0
106644,119480,0
106631,119468,0
106622,119426,0
106617,119423,0
106621,119475,0
106621,119501,0
106615,119491,0
106608,119491,0
106586,119487,0
106588,119472,0
106591,119482,0
106602,119496,0
106612,119523,0
106620,119517,0
106671,119600,0
106664,119601,0
106604,119402,0
106579,119360,0
106539,119256,0
106540,119246,0
106506,119215,0
106510,119221,0
106516,119264,0
106513,119268,0
106501,119254,0
106501,119257,0
106524,119300,0
106533,119301,0
106535,119322,0
106537,119334,0
106552,119349,0
106546,119351,0
106495,119171,0
106489,119130,0
106460,119053,0
106457,119047,0
106465,119053,0
106470,119065,0
106485,119114,0
106490,119130,0
106510,119173,0
106522,119188,0
106533,119179,0
106525,119172,0
106556,119217,0
106569,119234,0
106603,119292,0
106602,119295,0
106523,119080,0
106502,119043,0
106462,118914,0
106461,118896,0
106467,118932,0
106465,118937,0
106498,119012,0
106504,119024,0
106532,119067,0
106526,119081,0
106528,119077,0
106525,119077,0
106542,119106,0
106540,119114,0
