timestamp,ir,red,ir_ac,ir_dc,red_ac,red_dc,r_value,true_hr,true_spo2
2025-12-04T20:36:05.980394,111790.0,96847.0,10.527691,104973.914062,33.540672,90988.695312,3.675637,75.0,99.0
2025-12-04T20:36:05.982457,111790.0,96847.0,13.719585,105042.078125,23.905416,91047.28125,2.010257,75.0,99.0
2025-12-04T20:36:05.984986,111790.0,96847.0,15.174664,105109.554688,15.71987,91105.28125,1.195167,75.0,99.0
2025-12-04T20:36:05.986992,111790.0,96847.0,15.320171,105176.359375,9.03237,91162.703125,0.680204,75.0,99.0
2025-12-04T20:36:05.988797,111995.0,96960.0,28.361393,105244.546875,11.41214,91220.679688,0.464244,75.0,99.0
2025-12-04T20:36:05.990635,111995.0,96960.0,49.743717,105312.054688,20.0513,91278.070312,0.465067,75.0,99.0
2025-12-04T20:36:05.992463,111995.0,96960.0,61.940983,105378.882812,24.982452,91334.890625,0.465344,75.0,99.0
2025-12-04T20:36:05.994439,111995.0,96960.0,66.950256,105445.046875,27.011261,91391.140625,0.465495,75.0,99.0
2025-12-04T20:36:05.996499,111357.0,96794.0,23.56077,105504.164062,15.676967,91445.171875,0.767682,75.0,99.0
2025-12-04T20:36:05.999398,111357.0,96794.0,51.45583,105562.695312,4.427525,91498.664062,0.099271,75.0,99.0
2025-12-04T20:36:06.001518,111357.0,96794.0,101.393822,105620.640625,18.354282,91551.617188,0.208838,75.0,99.0
2025-12-04T20:36:06.003495,111357.0,96794.0,130.739029,105678.007812,27.114048,91604.039062,0.239254,75.0,99.0
2025-12-04T20:36:06.005229,111462.0,96823.0,136.769028,105735.851562,29.763803,91656.226562,0.25105,75.0,99.0
2025-12-04T20:36:06.007281,111462.0,96823.0,125.999496,105793.117188,27.948862,91707.898438,0.255886,75.0,99.0
2025-12-04T20:36:06.009252,111462.0,96823.0,111.085922,105849.804688,25.045542,91759.046875,0.260083,75.0,99.0
2025-12-04T20:36:06.011129,111462.0,96823.0,94.114731,105905.929688,21.543589,91809.6875,0.264054,75.0,99.0
2025-12-04T20:36:06.013333,111412.0,96794.0,80.0495,105960.992188,19.778599,91859.53125,0.285009,75.0,99.0
2025-12-04T20:36:06.015606,111412.0,96794.0,68.851257,106015.5,19.341587,91908.875,0.324035,75.0,99.0
2025-12-04T20:36:06.018418,111412.0,96794.0,56.953312,106069.46875,17.909946,91957.726562,0.362725,75.0,99.0
2025-12-04T20:36:06.020335,111412.0,96794.0,45.25214,106122.898438,15.859654,92006.09375,0.404247,75.0,99.0
2025-12-04T20:36:06.022175,111723.0,96952.0,13.391227,106178.898438,2.834046,92055.554688,0.244104,75.0,99.0
2025-12-04T20:36:06.024086,111723.0,96952.0,30.843149,106234.34375,17.17865,92104.523438,0.642413,75.0,99.0
2025-12-04T20:36:06.025840,111723.0,96952.0,60.260628,106289.234375,30.30072,92153.0,0.579961,75.0,99.0
2025-12-04T20:36:06.027554,111723.0,96952.0,77.516487,106343.570312,37.799255,92200.992188,0.562425,75.0,99.0
2025-12-04T20:36:06.029610,111755.0,96948.0,87.348396,106397.6875,40.625137,92248.460938,0.53643,75.0,99.0
2025-12-04T20:36:06.031865,111755.0,96948.0,91.371834,106451.257812,39.990372,92295.460938,0.504793,75.0,99.0
2025-12-04T20:36:06.035235,111755.0,96948.0,88.905037,106504.296875,37.22084,92341.984375,0.482867,75.0,99.0
2025-12-04T20:36:06.037179,111755.0,96948.0,82.002205,106556.804688,33.106094,92388.046875,0.465637,75.0,99.0
2025-12-04T20:36:06.039210,111310.0,96773.0,42.353264,106604.335938,16.476227,92431.898438,0.448667,75.0,99.0
2025-12-04T20:36:06.041062,111310.0,96773.0,18.096443,106651.390625,8.017426,92475.3125,0.510955,75.0,99.0
2025-12-04T20:36:06.042804,111310.0,96773.0,59.693611,106697.976562,24.832855,92518.289062,0.479764,75.0,99.0
2025-12-04T20:36:06.044605,111310.0,96773.0,85.574959,106744.101562,35.25473,92560.835938,0.475103,75.0,99.0
2025-12-04T20:36:06.046598,111305.0,96733.0,99.203255,106789.710938,43.258606,92602.554688,0.502867,75.0,99.0
2025-12-04T20:36:06.048836,111305.0,96733.0,103.395638,106834.867188,49.091614,92643.859375,0.547522,75.0,99.0
2025-12-04T20:36:06.051090,111305.0,96733.0,100.350716,106879.570312,50.356262,92684.75,0.578655,75.0,99.0
2025-12-04T20:36:06.052995,111305.0,96733.0,92.376106,106923.828125,48.324524,92725.234375,0.603232,75.0,99.0
2025-12-04T20:36:06.054896,111696.0,96956.0,55.011833,106971.554688,29.04274,92767.539062,0.608771,75.0,99.0
2025-12-04T20:36:06.056608,111696.0,96956.0,0.918341,107018.796875,1.289779,92809.421875,1.619495,75.0,99.0
2025-12-04T20:36:06.058313,111696.0,96956.0,40.324593,107065.570312,22.615463,92850.890625,0.646695,75.0,99.0
2025-12-04T20:36:06.060201,111696.0,96956.0,65.785042,107111.875,36.348373,92891.945312,0.637114,75.0,99.0
2025-12-04T20:36:06.062402,110793.0,96436.0,19.016487,107148.6875,8.850246,92927.390625,0.536622,75.0,99.0
2025-12-04T20:36:06.064707,110793.0,96436.0,75.99572,107185.132812,46.140476,92962.476562,0.700035,75.0,99.0
2025-12-04T20:36:06.067180,110793.0,96436.0,138.616333,107221.210938,82.258644,92997.210938,0.684192,75.0,99.0
2025-12-04T20:36:06.069124,111001.0,96519.0,160.717468,107259.007812,97.365906,93032.429688,0.698463,75.0,99.0
2025-12-04T20:36:06.071048,111001.0,96519.0,152.948425,107296.429688,96.772156,93067.296875,0.729447,75.0,99.0
2025-12-04T20:36:06.079505,111001.0,96519.0,138.587585,107333.476562,90.735046,93101.8125,0.754793,75.0,99.0
2025-12-04T20:36:06.120870,111001.0,96519.0,120.409363,107370.15625,81.207703,93135.984375,0.777505,75.0,99.0
2025-12-04T20:36:06.161455,110966.0,96472.0,102.954376,107406.117188,72.94207,93169.34375,0.81675,75.0,99.0
2025-12-04T20:36:06.200879,110966.0,96472.0,87.023224,107441.71875,66.046074,93202.375,0.874899,75.0,99.0
2025-12-04T20:36:06.240132,110966.0,96472.0,70.730743,107476.960938,57.346363,93235.070312,0.934617,75.0,99.0
2025-12-04T20:36:06.281145,110966.0,96472.0,55.129181,107511.851562,47.879566,93267.4375,1.00114,75.0,99.0
2025-12-04T20:36:06.319723,111332.0,96656.0,16.232546,107550.054688,26.009302,93301.320312,1.846992,75.0,99.0
2025-12-04T20:36:06.359019,111332.0,96656.0,36.840698,107587.875,3.342261,93334.867188,0.104576,75.0,99.0
2025-12-04T20:36:06.399304,111332.0,96656.0,72.145386,107625.320312,23.856421,93368.078125,0.381165,75.0,99.0
2025-12-04T20:36:06.439576,111332.0,96656.0,92.864624,107662.390625,36.944801,93400.960938,0.458581,75.0,99.0
2025-12-04T20:36:06.479604,110830.0,96514.0,68.228149,107694.070312,34.455505,93432.09375,0.582091,75.0,99.0
2025-12-04T20:36:06.519459,110830.0,96514.0,13.022585,107725.429688,21.120058,93462.914062,1.869291,75.0,99.0
2025-12-04T20:36:06.558696,110830.0,96514.0,26.682005,107756.476562,10.485292,93493.421875,0.452923,75.0,99.0
2025-12-04T20:36:06.599105,110830.0,96514.0,53.144894,107787.210938,2.373476,93523.625,0.051472,75.0,99.0
2025-12-04T20:36:06.638224,110839.0,96448.0,68.122269,107817.726562,7.939412,93552.867188,0.134317,75.0,99.0
2025-12-04T20:36:06.679068,110839.0,96448.0,74.126663,107847.9375,19.206501,93581.820312,0.298603,75.0,99.0
2025-12-04T20:36:06.718420,110839.0,96448.0,74.05928,107877.851562,26.040485,93610.484375,0.405207,75.0,99.0
2025-12-04T20:36:06.757914,110839.0,96448.0,69.712112,107907.460938,29.350056,93638.859375,0.485172,75.0,99.0
2025-12-04T20:36:06.796783,110611.0,96262.0,77.977661,107934.5,42.527596,93665.09375,0.628468,75.0,99.0
2025-12-04T20:36:06.836147,110611.0,96262.0,94.661743,107961.265625,61.902107,93691.0625,0.75353,75.0,99.0
2025-12-04T20:36:06.875802,110611.0,96262.0,100.937134,107987.765625,71.977303,93716.773438,0.821678,75.0,99.0
2025-12-04T20:36:06.916033,110611.0,96262.0,99.504517,108014.0,74.906013,93742.226562,0.867399,75.0,99.0
2025-12-04T20:36:06.956548,111003.0,96427.0,66.273964,108043.890625,61.493179,93769.078125,1.069115,75.0,99.0
2025-12-04T20:36:06.997718,111003.0,96427.0,12.53861,108073.484375,37.329605,93795.65625,3.430366,75.0,99.0
2025-12-04T20:36:07.037033,111003.0,96427.0,26.101038,108102.78125,18.114273,93821.96875,0.799642,75.0,99.0
2025-12-04T20:36:07.077445,111003.0,96427.0,51.846645,108131.78125,3.505875,93848.023438,0.077912,75.0,99.0
2025-12-04T20:36:07.116744,111310.0,96634.0,87.708733,108163.5625,20.967133,93875.882812,0.275438,75.0,99.0
